Time stamp	Event	Event Data
17:31:02 19/06/2017	Positionner Ctrl Initialised	True
17:31:38 19/06/2017	Positionner Ctrl Initialised	True
13:47:26 13/07/2017	Positionner Ctrl Initialised	True
17:44:29 20/12/2017	Positionner Ctrl Initialised	True
17:48:29 20/12/2017	Positionner Ctrl Initialised	True
17:55:09 20/12/2017	Positionner Ctrl Initialised	True
17:58:09 20/12/2017	Positionner Ctrl Initialised	True
17:59:04 20/12/2017	Positionner Ctrl Initialised	True
18:01:53 20/12/2017	Positionner Ctrl Initialised	True
18:03:13 20/12/2017	Positionner Ctrl Initialised	True
13:26:18 21/12/2017	Positionner Ctrl Initialised	True
13:36:23 21/12/2017	Positionner Ctrl Initialised	True
13:39:36 21/12/2017	Positionner Ctrl Initialised	True
13:52:27 21/12/2017	Positionner Ctrl Initialised	True
13:52:35 21/12/2017	Positionner Ctrl Initialised	True
16:30:11 08/01/2018	Positionner Ctrl Initialised	True
16:30:17 08/01/2018	Positionner Ctrl Initialised	True
16:30:37 08/01/2018	Positionner Ctrl Initialised	True
16:36:39 08/01/2018	Positionner Ctrl Initialised	True
16:39:21 08/01/2018	Positionner Ctrl Initialised	True
14:22:37 09/01/2018	Positionner Ctrl Initialised	True
14:28:38 09/01/2018	Positionner Ctrl Initialised	True
14:53:17 09/01/2018	Positionner Ctrl Initialised	True
16:51:39 09/01/2018	Positionner Ctrl Initialised	True
17:37:02 09/01/2018	Positionner Ctrl Initialised	True
17:37:56 09/01/2018	Positionner Ctrl Initialised	True
09:27:46 10/01/2018	Positionner Ctrl Initialised	True
13:53:19 11/01/2018	Positionner Ctrl Initialised	True
10:01:59 15/01/2018	Positionner Ctrl Initialised	True
10:22:27 15/01/2018	Positionner Ctrl Initialised	True
